bank,cert,assets_b,exam_date,overall,lending_test,investment_test,service_test,disclosed_giving,avg_cd_donation,revised_ask,note
Apple Bank,16068,19.23,2024-01-01,Satisfactory,High Satisfactory,Low Satisfactory,High Satisfactory,,,15000,Investment Test is the documented weakness — the test where a grant counts
Mega Bank,58401,0.52,2025-05-01,Needs to Improve,Low Satisfactory,,,11 CD donations totaling $46300,4209,5000,NTI
Sonata Bank,21342,0.28,2024-12-01,Needs to Improve,,,,,,2500,NTI; small bank exam; no giving figures disclosed
The Berkshire Bank,27503,0.54,2026-08-01,Needs to Improve,Low Satisfactory,,,"QIs, donations and grants ~$10.0M total",,10000,NTI as of 8/2026 — newer than our prior 12/2024 record
International Bank of Commerce,19629,9.89,2025-01-01,Satisfactory,High Satisfactory,Outstanding,High Satisfactory,279 donations totaling $1.2M (Laredo MSA),4301,10000,Investment Test Outstanding — LOW pressure
FirstBank Nashville,8663,16.43,2023-07-01,Satisfactory,Substantial Non Compliance,,Substantial Non Compliance,93 QIs totaling $84.5M incl donations of $126000,,10000,VERIFY — component ratings read Substantial Noncompliance under an overall Satisfactory
Israel Discount Bank of NY,19977,13.99,2024-02-01,Outstanding,,,,,,0,Outstanding wholesale evaluation — deprioritise
Texas Capital Bank,34383,33.21,2024-02-01,Satisfactory,High Satisfactory,High Satisfactory,Outstanding,,,10000,Strong across all tests — LOW pressure
Northfield Bank,28710,5.74,2007-05-01,Satisfactory,High Satisfactory,Needs to Improve,High Satisfactory,grants and donations totaling $396372 to 29,13668,20000,Investment Test NTI but the evaluation is 2007 — confirm a newer exam elsewhere
Texas Exchange Bank,20099,4.27,2023-11-01,Satisfactory,,,,,,5000,Wholesale evaluation
City Bank Lubbock,25103,4.64,2024-04-01,Satisfactory,Low Satisfactory,Low Satisfactory,Low Satisfactory,199 donations totaling $927385,4660,10000,Low Satisfactory across all three tests
Provident Bank,12010,25.19,2026-01-01,Satisfactory,High Satisfactory,Outstanding,High Satisfactory,"per-AA: $868000/60, $422000/44, $3000",9600,20000,Investment Outstanding — LOW pressure despite the consent order
Pearland State Bank,18132,0.19,2024-10-01,Substantial Noncompliance,,,,,,2500,SNC — maximum pressure minimum capacity
Zenith Bank & Trust,59318,0.12,2026-03-01,Needs to Improve,,,,,,2500,NTI first exam
Oakwood Bank,10334,0.86,2023-05-01,Needs to Improve,Low Satisfactory,,,"14 donations totaling $60000; $57000 in Dallas MSA AA, $3000 Texas Non-MSA",4286,5000,NTI; 95/5 split between its two AAs
Stock Yards Bank & Trust,258,9.46,2024-08-01,Outstanding,Outstanding,Outstanding,High Satisfactory,three donations totaling $150000,50000,0,Outstanding across the board — deprioritise despite large single gifts
ESSA Bank & Trust,28262,2.16,2024-12-01,Satisfactory,High Satisfactory,High Satisfactory,High Satisfactory,100 qualified grants and donations totaling $335905,3359,7500,All High Satisfactory — low pressure despite the consent order
