bank_key,bank,state,ask_usd,route,contact,title,channel,address,confidence,source
american_business_bank,American Business Bank,CA,25000,role,CRA Officer,"designated public-file contact, American Business Bank",WWW.AMERICANBB.BANK,"400 S Hope St, Los Angeles, CA 90071",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
banco_do_brasil_americas,Banco do Brasil Americas,FL,4500,role,CRA Officer,"designated public-file contact, Banco do Brasil Americas",http://www.bbamericas.com,"1221 Brickell Ave, Miami, FL 33131",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
bank_irvine,Bank Irvine,CA,5000,role,CRA Officer,"designated public-file contact, Bank Irvine",www.bankirvine.com,"6201 Oak Canyon, Suite 150, Irvine, CA 92618",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
bank_of_america_la,"Bank of America, N.A.",CA,25000,named,Alicia Vela,"SVP, CRA Senior Manager",,,HIGH,"Consumer Bankers Association, Community Reinvestment Committee roster, retrieved 2026-08-26"
bank_of_marin,Bank of Marin,CA,10000,role,CRA Officer,"designated public-file contact, Bank of Marin",www.bankofmarin.com,"504 Redwood Blvd, Novato, CA 94947",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
bank_ozk_houston,Bank OZK,TX,10000,named,Lasha Marshall,Director of Compliance - CRA,,,HIGH,"Consumer Bankers Association, Community Reinvestment Committee roster, retrieved 2026-08-26"
busey_bank,Busey Bank,IL,25000,named,Matthew Sabatino,named for written CRA comments,CRA@busey.com,"100 W University Avenue, Champaign IL 61820",HIGH,busey.com CRA public file page
citizens_business_la,Citizens Business Bank,CA,25000,role,CRA Officer,"designated public-file contact, Citizens Business Bank, National Association",http://www.cbbank.com,"701 N Haven Ave, Ontario, CA 91764",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
city_national,City National Bank,CA,25000,role,CRA Officer,"designated public-file contact, City National Bank",www.cnb.com,"555 S Flower St, Los Angeles, CA 90071",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
commonwealth_business_bank,Commonwealth Business Bank,CA,12500,role,CRA Officer,"designated public-file contact, Commonwealth Business Bank",www.cbb-bank.com,"3435 Wilshire Blvd, Los Angeles, CA 90010",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
ctbc_bank_usa,CTBC Bank Corp. (USA),CA,25000,named,Robert De Acevedo,SVP & CRA Officer,not published,"801 S. Figueroa St., Suite 2300, Los Angeles CA 90017",MEDIUM,web search result; NOT confirmed on the bank's own site
enterprise_phoenix,Enterprise Bank & Trust,AZ,12500,role,CRA Officer,"designated public-file contact, Enterprise Bank & Trust",http://www.enterprisebank.com,"150 N Meramec Ave, Clayton, MO 63105",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
first_american_bank,First American Bank,IL,25000,named,David J. Leeney,CRA Officer,website contact form,"1650 Louis Avenue, Elk Grove Village IL 60007",HIGH,firstambank.com CRA page
first_citizens_phoenix,First-Citizens Bank & Trust Company,AZ,3000,role,CRA Officer,"designated public-file contact, First-Citizens Bank & Trust Company",www.firstcitizens.com,"239 Fayetteville St, Raleigh, NC 27601",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
firstbank_tn,FirstBank,TN,10000,role,CRA Officer,"designated public-file contact, FirstBank",www.firstbankonline.com,"1221 Broadway, Nashville, TN 37203",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
firstrust_savings_bank,Firstrust Savings Bank,PA,25000,role,CRA Officer,"designated public-file contact, Firstrust Savings Bank",www.firstrust.com,"15 E Ridge Pike, Conshohocken, PA 19428",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
five_star_bank,Five Star Bank,CA,25000,role,CRA Officer,"designated public-file contact, Five Star Bank",www.fivestarbank.com,"2240 Douglas Blvd, Roseville, CA 95661",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
frost_houston,Frost Bank,TX,25000,named,Sawyer Williams,"Senior VP, CRA Officer",,,HIGH,"Consumer Bankers Association, Community Reinvestment Committee roster, retrieved 2026-08-26"
glacier_phoenix,Glacier Bank,AZ,25000,role,CRA Officer,"designated public-file contact, Glacier Bank",www.glacierbank.com,"49 Commons Loop, Kalispell, MT 59901",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
habib_american_bank,Habib American Bank,NY,15000,role,CRA Officer,"designated public-file contact, Habib American Bank",www.hab.bank,"150 East 45th Street, New York, NY 10017",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
hanmi_bank,Hanmi Bank,CA,15000,channel,CRA Officer,no name published; reach the role at this channel,hanmi.com/community-reinvestment-act/ · (213) 382-2200,"3660 Wilshire Blvd, Suite A, Los Angeles CA 90010",LOW,bank website
helm_bank,Helm Bank USA,FL,5000,role,CRA Officer,"designated public-file contact, Helm Bank USA",www.helmbankusa.com,"999 Brickell Ave, Miami, FL 33131",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
ibc_houston,International Bank of Commerce,TX,25000,named,Irene Guzman,First VP - Corporate CRA Officer,,,HIGH,"Consumer Bankers Association, Community Reinvestment Committee roster, retrieved 2026-08-26"
jpmorgan_chase_la,"JPMorgan Chase Bank, N.A.",CA,25000,named,Kristen Comstock,CRA Strategic Planning & Governance Director,,,HIGH,"Consumer Bankers Association, Community Reinvestment Committee roster, retrieved 2026-08-26"
lakeside_bank,Lakeside Bank,IL,4500,role,CRA Officer,"designated public-file contact, Lakeside Bank",http://WWW.LAKESIDEBANK.COM,"55 W Wacker Dr, Chicago, IL 60601",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
mechanics_bank,Mechanics Bank,CA,10000,named,Courtney Williams,"EVP, Director of CRA Strategy",,,HIGH,"Consumer Bankers Association, Community Reinvestment Committee roster, retrieved 2026-08-26"
mechanics_bank_bakersfield,Mechanics Bank,CA,10000,named,Courtney Williams,"EVP, Director of CRA Strategy",,,HIGH,"Consumer Bankers Association, Community Reinvestment Committee roster, retrieved 2026-08-26"
mega_bank,Mega Bank,CA,5000,role,CRA Officer,"designated public-file contact, Mega Bank",https://www.megabankusa.com,"245 W Valley Blvd, San Gabriel, CA 91776",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
meridian_bank,Meridian Bank,PA,25000,channel,CRA Officer,no name published; reach the role at this channel,(484) 235-0349,"9 Old Lincoln Highway, Malvern PA 19355",LOW,bank website
northfield_bank,Northfield Bank,NY,25000,role,CRA Officer,"designated public-file contact, Northfield Bank",www.enorthfield.com,"4142 Hylan Blvd, Staten Island, NY 10308",ROLE-ROUTE,FDIC BankFind main office address; the CRA public-file contact is a role every covered bank must designate (12 CFR __.43)
