rank,county,state,unenrolled_persons,non_enroll_rate,method
1,Los Angeles,CA,796577,0.5867,MODELED
2,Harris,TX,497207,0.5762,survey-weighted
3,Cook,IL,336202,0.4617,survey-weighted
4,Maricopa,AZ,333882,0.6481,survey-weighted
5,Dallas,TX,248444,0.6300,survey-weighted
6,Kings,NY,205264,0.4100,survey-weighted
7,San Diego,CA,203583,0.6536,MODELED
8,Orange,CA,193939,0.6792,MODELED
9,Queens,NY,189984,0.5412,survey-weighted
10,Miami-Dade,FL,189669,0.4824,survey-weighted
11,Riverside,CA,183784,0.6140,MODELED
12,San Bernardino,CA,176091,0.5830,MODELED
13,Bexar,TX,173935,0.5089,survey-weighted
14,Broward,FL,168737,0.6519,survey-weighted
15,Clark,NV,165838,0.5463,survey-weighted
16,Tarrant,TX,164794,0.6245,survey-weighted
17,Wayne,MI,133605,0.3544,survey-weighted
18,Philadelphia,PA,130533,0.3802,survey-weighted
19,Hillsborough,FL,115855,0.5335,survey-weighted
20,Hidalgo,TX,113138,0.4250,survey-weighted
21,Franklin,OH,110505,0.5366,survey-weighted
22,Bronx,NY,110484,0.2786,survey-weighted
23,New York,NY,109137,0.4618,survey-weighted
24,Orange,FL,108465,0.5809,survey-weighted
25,Sacramento,CA,107264,0.5799,MODELED
26,Fresno,CA,106028,0.5289,MODELED
27,Palm Beach,FL,104095,0.6259,survey-weighted
28,King,WA,100101,0.5456,survey-weighted
29,El Paso,TX,97007,0.5089,survey-weighted
30,Kern,CA,96800,0.5460,MODELED
31,Travis,TX,93843,0.6993,survey-weighted
32,Pima,AZ,93577,0.5718,survey-weighted
33,Alameda,CA,91425,0.6122,MODELED
34,Marion,IN,88230,0.6039,survey-weighted
35,Shelby,TN,85763,0.5136,survey-weighted
36,Gwinnett,GA,85283,0.6837,survey-weighted
37,Salt Lake,UT,82922,0.7036,survey-weighted
38,Duval,FL,82772,0.4980,survey-weighted
39,Santa Clara,CA,80391,0.6427,MODELED
40,Cuyahoga,OH,78938,0.3770,survey-weighted
41,Allegheny,PA,75711,0.5119,survey-weighted
42,Hennepin,MN,74079,0.5978,survey-weighted
43,Mecklenburg,NC,73486,0.5756,survey-weighted
44,Prince George's,MD,73007,0.6601,survey-weighted
45,Jefferson,KY,72858,0.5759,survey-weighted
46,Lee,FL,71737,0.7555,survey-weighted
47,St. Louis,MO,70811,0.6625,survey-weighted
48,Oklahoma,OK,69136,0.5371,survey-weighted
49,Fulton,GA,68787,0.5385,survey-weighted
50,Pinellas,FL,66804,0.5964,survey-weighted
51,Fort Bend,TX,66255,0.7280,survey-weighted
52,Middlesex,MA,64622,0.5635,survey-weighted
53,Essex,NJ,64368,0.5085,survey-weighted
54,Honolulu,HI,63926,0.6058,survey-weighted
55,Collin,TX,63244,0.7795,survey-weighted
56,Oakland,MI,63199,0.5810,survey-weighted
57,Hamilton,OH,62575,0.5102,survey-weighted
58,Erie,NY,62302,0.4404,survey-weighted
59,Milwaukee,WI,61653,0.3960,survey-weighted
60,Polk,FL,61216,0.5634,survey-weighted
61,DeKalb,GA,58790,0.5760,survey-weighted
62,Westchester,NY,58000,0.6365,survey-weighted
63,Contra Costa,CA,57980,0.6615,MODELED
64,Davidson,TN,57883,0.7179,survey-weighted
65,Suffolk,NY,57872,0.6229,survey-weighted
66,San Joaquin,CA,57499,0.6015,MODELED
67,Baltimore,MD,57435,0.6350,survey-weighted
68,Montgomery,TX,57433,0.6521,survey-weighted
69,Utah,UT,57177,0.7802,survey-weighted
70,Nassau,NY,55249,0.7704,survey-weighted
71,Jefferson,AL,54642,0.4843,survey-weighted
72,Tulsa,OK,53662,0.4412,survey-weighted
73,Tulare,CA,52974,0.5353,MODELED
74,Wake,NC,52904,0.6343,survey-weighted
75,Baltimore city,MD,52483,0.4629,survey-weighted
76,Jackson,MO,51947,0.5257,survey-weighted
77,Greenville,SC,51775,0.7371,survey-weighted
78,East Baton Rouge Parish,LA,51668,0.5902,survey-weighted
79,Ventura,CA,51221,0.6614,MODELED
80,Middlesex,NJ,50118,0.6569,survey-weighted
81,Cameron,TX,50116,0.4097,survey-weighted
82,Ocean,NJ,49972,0.6033,survey-weighted
83,Hudson,NJ,49056,0.4272,survey-weighted
84,Knox,TN,48640,0.7000,survey-weighted
85,Pulaski,AR,48447,0.7111,survey-weighted
86,San Francisco,CA,48256,0.5813,MODELED
87,Cobb,GA,47753,0.6909,survey-weighted
88,Macomb,MI,47596,0.4932,survey-weighted
89,Brevard,FL,46651,0.7010,survey-weighted
90,Montgomery,MD,46137,0.6240,survey-weighted
91,Denton,TX,45420,0.7803,survey-weighted
92,Monroe,NY,43986,0.4412,survey-weighted
93,Multnomah,OR,43981,0.4815,survey-weighted
94,Richmond,NY,43491,0.5962,survey-weighted
95,Denver,CO,43328,0.5710,survey-weighted
96,Bergen,NJ,43178,0.6819,survey-weighted
97,Snohomish,WA,43153,0.6115,survey-weighted
98,Pasco,FL,43063,0.6771,survey-weighted
99,Montgomery,OH,42868,0.5392,survey-weighted
100,Bernalillo,NM,42755,0.4720,survey-weighted
101,Jefferson Parish,LA,42661,0.5660,survey-weighted
102,Brazos,TX,42012,0.6897,survey-weighted
103,Pinal,AZ,41810,0.6981,survey-weighted
104,Fairfax,VA,41664,0.6304,survey-weighted
105,Montgomery,PA,41536,0.6108,survey-weighted
106,Sarasota,FL,41397,0.8445,survey-weighted
107,Guilford,NC,41224,0.4291,survey-weighted
108,Volusia,FL,40376,0.5617,survey-weighted
109,Kent,MI,40366,0.5901,survey-weighted
110,Orleans Parish,LA,40185,0.5109,survey-weighted
111,Fayette,KY,39996,0.6742,survey-weighted
112,Richland,SC,39872,0.5998,survey-weighted
113,Pierce,WA,39777,0.5357,survey-weighted
114,Lake,IN,39442,0.5072,survey-weighted
115,Stanislaus,CA,39387,0.5823,MODELED
116,Sedgwick,KS,38793,0.5712,survey-weighted
117,Arapahoe,CO,38728,0.5841,survey-weighted
118,Suffolk,MA,38578,0.3687,survey-weighted
119,Santa Barbara,CA,38523,0.6589,MODELED
120,Essex,MA,37939,0.4290,survey-weighted
121,Dane,WI,37493,0.7243,survey-weighted
122,Lucas,OH,37442,0.4438,survey-weighted
123,Union,NJ,37424,0.6773,survey-weighted
124,Washington,AR,37396,0.8881,survey-weighted
125,Mobile,AL,37059,0.5452,survey-weighted
126,Horry,SC,37009,0.6515,survey-weighted
127,New Castle,DE,36995,0.6316,survey-weighted
128,Delaware,PA,36763,0.5532,survey-weighted
129,Douglas,NE,36437,0.5921,survey-weighted
130,Will,IL,36360,0.6257,survey-weighted
131,Allen,IN,36259,0.6291,survey-weighted
132,Lehigh,PA,36190,0.5573,survey-weighted
133,DuPage,IL,36124,0.5476,survey-weighted
134,Worcester,MA,36042,0.3748,survey-weighted
135,Genesee,MI,35915,0.4478,survey-weighted
136,Alachua,FL,35869,0.7027,survey-weighted
137,Spartanburg,SC,35797,0.6381,survey-weighted
138,Williamson,TX,35428,0.7759,survey-weighted
139,Monterey,CA,34757,0.6405,MODELED
140,Lake,IL,34653,0.6440,survey-weighted
141,Leon,FL,34559,0.6486,survey-weighted
142,Lubbock,TX,34435,0.5870,survey-weighted
143,Polk,IA,34012,0.6201,survey-weighted
144,Virginia Beach city,VA,33825,0.7165,survey-weighted
145,Manatee,FL,33166,0.7688,survey-weighted
146,Osceola,FL,32759,0.6325,survey-weighted
147,Marion,FL,32238,0.4757,survey-weighted
148,El Paso,CO,32192,0.5548,survey-weighted
149,Jefferson,TX,32027,0.5720,survey-weighted
150,Providence,RI,31992,0.4487,survey-weighted
151,Monmouth,NJ,31529,0.6561,survey-weighted
152,Nueces,TX,31418,0.5162,survey-weighted
153,Lake,FL,31233,0.6268,survey-weighted
154,Passaic,NJ,31170,0.3937,survey-weighted
155,District of Columbia,DC,31136,0.3558,survey-weighted
156,Greene,MO,31085,0.6501,survey-weighted
157,Rockland,NY,30670,0.5072,survey-weighted
158,Madison,AL,30593,0.6610,survey-weighted
159,Merced,CA,30482,0.5678,MODELED
160,Forsyth,NC,30313,0.4674,survey-weighted
161,Mohave,AZ,30214,0.7022,survey-weighted
162,Washoe,NV,30115,0.6141,survey-weighted
163,Seminole,FL,30048,0.6483,survey-weighted
164,Lancaster,PA,29758,0.5903,survey-weighted
165,Spokane,WA,29640,0.4700,survey-weighted
166,Adams,CO,29502,0.6505,survey-weighted
167,St. Louis city,MO,29419,0.4543,survey-weighted
168,Ingham,MI,29279,0.7037,survey-weighted
169,Collier,FL,29154,0.6850,survey-weighted
170,Solano,CA,29132,0.6579,MODELED
171,Berks,PA,29003,0.5302,survey-weighted
172,San Mateo,CA,28819,0.7069,MODELED
173,Charleston,SC,28576,0.7309,survey-weighted
174,Boulder,CO,28534,0.8585,survey-weighted
175,St. Tammany Parish,LA,28509,0.6892,survey-weighted
176,Champaign,IL,28418,0.7379,survey-weighted
177,Norfolk,MA,28323,0.5037,survey-weighted
178,Webb,TX,28282,0.4381,survey-weighted
179,St. Lucie,FL,28225,0.6517,survey-weighted
180,Summit,OH,28204,0.3954,survey-weighted
181,Cumberland,NC,28133,0.5213,survey-weighted
182,Ada,ID,28093,0.6697,survey-weighted
183,McLennan,TX,28008,0.5462,survey-weighted
184,Onondaga,NY,27716,0.4202,survey-weighted
185,Tuscaloosa,AL,27647,0.5950,survey-weighted
186,Stark,OH,27458,0.5362,survey-weighted
187,Albany,NY,27171,0.6550,survey-weighted
188,Yavapai,AZ,27108,0.7253,survey-weighted
189,Lee,AL,26955,0.6991,survey-weighted
190,Brazoria,TX,26567,0.6405,survey-weighted
191,Bell,TX,26511,0.5986,survey-weighted
192,Benton,AR,26452,0.8722,survey-weighted
193,Clayton,GA,26442,0.4523,survey-weighted
194,Rutherford,TN,26416,0.7516,survey-weighted
195,Lancaster,NE,26240,0.7092,survey-weighted
196,St. Joseph,IN,26180,0.6303,survey-weighted
197,Lexington,SC,26168,0.6358,survey-weighted
198,Bristol,MA,26143,0.3239,survey-weighted
199,Lane,OR,26101,0.4622,survey-weighted
200,Marion,OR,25627,0.4854,survey-weighted
201,Luzerne,PA,25570,0.4091,survey-weighted
202,Washtenaw,MI,25445,0.5579,survey-weighted
203,Clarke,GA,25051,0.7417,survey-weighted
204,Durham,NC,24913,0.6595,survey-weighted
205,Galveston,TX,24834,0.6031,survey-weighted
206,Weld,CO,24820,0.7234,survey-weighted
207,Chatham,GA,24818,0.6185,survey-weighted
208,Larimer,CO,24804,0.6689,survey-weighted
209,Sonoma,CA,24709,0.6491,MODELED
210,Muscogee,GA,24615,0.5953,survey-weighted
211,Montgomery,TN,24604,0.6706,survey-weighted
212,Orange,NY,24550,0.4402,survey-weighted
213,Ramsey,MN,24229,0.4589,survey-weighted
214,Wyandotte,KS,23988,0.7061,survey-weighted
215,Jefferson,CO,23889,0.6758,survey-weighted
216,Hinds,MS,23543,0.4933,survey-weighted
217,Burlington,NJ,23371,0.7416,survey-weighted
218,Hamilton,TN,23360,0.5138,survey-weighted
219,San Luis Obispo,CA,23318,0.6982,MODELED
220,Ottawa,MI,23306,0.6670,survey-weighted
221,Washington,UT,23202,0.8261,survey-weighted
222,Johnson,KS,23074,0.7792,survey-weighted
223,Butte,CA,23072,0.5881,MODELED
224,Washington,OR,23016,0.5145,survey-weighted
225,Escambia,FL,22938,0.5474,survey-weighted
226,Montgomery,AL,22907,0.4763,survey-weighted
227,Mercer,NJ,22844,0.5787,survey-weighted
228,Kane,IL,22586,0.5386,survey-weighted
229,Butler,OH,22542,0.5054,survey-weighted
230,Camden,NJ,22536,0.3338,survey-weighted
231,Prince William,VA,22497,0.7036,survey-weighted
232,Harrison,MS,22475,0.5511,survey-weighted
233,Tippecanoe,IN,22391,0.7377,survey-weighted
234,Centre,PA,22361,0.7705,survey-weighted
235,Gloucester,NJ,22309,0.7484,survey-weighted
236,Smith,TX,22235,0.5944,survey-weighted
237,Caddo Parish,LA,22192,0.3876,survey-weighted
238,York,SC,22050,0.7188,survey-weighted
239,Hawaii,HI,21997,0.6909,survey-weighted
240,Lafayette Parish,LA,21770,0.5340,survey-weighted
241,Hall,GA,21451,0.7061,survey-weighted
242,Yolo,CA,21447,0.6699,MODELED
243,Pitt,NC,21244,0.6683,survey-weighted
244,Citrus,FL,21203,0.7096,survey-weighted
245,Hays,TX,21119,0.7715,survey-weighted
246,York,PA,21046,0.4881,survey-weighted
247,Santa Cruz,CA,20895,0.6801,MODELED
248,Cleveland,OK,20885,0.5118,survey-weighted
249,Kalamazoo,MI,20798,0.6448,survey-weighted
250,Washington,TN,20747,0.8225,survey-weighted
251,Placer,CA,20366,0.7307,MODELED
252,Lackawanna,PA,20353,0.4576,survey-weighted
253,Berkeley,SC,20337,0.7216,survey-weighted
254,Chester,PA,20301,0.6223,survey-weighted
255,Bucks,PA,20174,0.3596,survey-weighted
256,Anderson,SC,20004,0.5909,survey-weighted
257,Peoria,IL,19979,0.5093,survey-weighted
258,Gaston,NC,19903,0.4950,survey-weighted
259,Morris,NJ,19874,0.7771,survey-weighted
260,Chesapeake city,VA,19846,0.6096,survey-weighted
261,Clackamas,OR,19796,0.6480,survey-weighted
262,Plymouth,MA,19709,0.5217,survey-weighted
263,Waukesha,WI,19615,0.7834,survey-weighted
264,Dakota,MN,19539,0.8140,survey-weighted
265,Norfolk city,VA,19291,0.4981,survey-weighted
266,Aiken,SC,19289,0.7374,survey-weighted
267,Hampden,MA,19067,0.2285,survey-weighted
268,Johnson,TX,18749,0.7621,survey-weighted
269,Westmoreland,PA,18724,0.4836,survey-weighted
270,Monroe,IN,18703,0.7989,survey-weighted
271,Dauphin,PA,18699,0.4864,survey-weighted
272,Anne Arundel,MD,18634,0.6051,survey-weighted
273,Oneida,NY,18625,0.4171,survey-weighted
274,Calcasieu Parish,LA,18587,0.4765,survey-weighted
275,Henrico,VA,18549,0.5164,survey-weighted
276,Johnston,NC,18529,0.4964,survey-weighted
277,Clark,WA,18476,0.5498,survey-weighted
278,Hamilton,IN,18326,0.7003,survey-weighted
279,Imperial,CA,18268,0.5617,MODELED
280,St. Johns,FL,18255,0.7562,survey-weighted
281,Elkhart,IN,18090,0.7053,survey-weighted
282,Loudoun,VA,18085,0.8661,survey-weighted
283,Richmond city,VA,18065,0.5687,survey-weighted
284,Yakima,WA,17990,0.4435,survey-weighted
285,Harford,MD,17940,0.7974,survey-weighted
286,Lorain,OH,17821,0.5202,survey-weighted
287,Pickens,SC,17791,0.6331,survey-weighted
288,Boone,MO,17592,0.6734,survey-weighted
289,Lake,OH,17548,0.6290,survey-weighted
290,Mahoning,OH,17434,0.3739,survey-weighted
291,Beaufort,SC,17409,0.7095,survey-weighted
292,Atlantic,NJ,17241,0.4588,survey-weighted
293,Doña Ana,NM,17129,0.3506,survey-weighted
294,Yuma,AZ,17070,0.4898,survey-weighted
295,Garland,AR,17009,0.7516,survey-weighted
296,Trumbull,OH,16637,0.4784,survey-weighted
297,Kootenai,ID,16566,0.6464,survey-weighted
298,Madera,CA,16499,0.5887,MODELED
299,Hernando,FL,16295,0.5872,survey-weighted
300,Davis,UT,16228,0.6838,survey-weighted
301,Weber,UT,16208,0.6131,survey-weighted
302,Cumberland,PA,16157,0.5832,survey-weighted
303,Martin,FL,16010,0.6472,survey-weighted
304,Houston,GA,16006,0.5983,survey-weighted
305,DeSoto,MS,15954,0.7072,survey-weighted
306,Benton,WA,15861,0.5948,survey-weighted
307,Midland,TX,15813,0.6453,survey-weighted
308,Coconino,AZ,15657,0.5529,survey-weighted
309,Harnett,NC,15645,0.5632,survey-weighted
310,Niagara,NY,15621,0.5588,survey-weighted
311,Shelby,AL,15599,0.6883,survey-weighted
312,Buncombe,NC,15591,0.5089,survey-weighted
313,Richmond,GA,15515,0.3422,survey-weighted
314,Sebastian,AR,15457,0.8381,survey-weighted
315,Kings,CA,15446,0.5541,MODELED
316,Linn,IA,15424,0.6438,survey-weighted
317,Calhoun,AL,15410,0.5046,survey-weighted
318,Onslow,NC,15389,0.4628,survey-weighted
319,Charlotte,FL,15283,0.7742,survey-weighted
320,Hillsborough,NH,15145,0.5287,survey-weighted
321,Dutchess,NY,15117,0.6396,survey-weighted
322,Union,NC,15070,0.6897,survey-weighted
323,Baldwin,AL,15067,0.5054,survey-weighted
324,Anoka,MN,15065,0.5794,survey-weighted
325,Grayson,TX,15044,0.7252,survey-weighted
326,Randolph,NC,15032,0.5135,survey-weighted
327,Lowndes,GA,14977,0.5360,survey-weighted
328,Clay,MO,14969,0.7055,survey-weighted
329,New Hanover,NC,14834,0.5291,survey-weighted
330,Coweta,GA,14807,0.8840,survey-weighted
331,Orange,NC,14799,0.8422,survey-weighted
332,Shawnee,KS,14755,0.6756,survey-weighted
333,Okaloosa,FL,14752,0.6411,survey-weighted
334,Henry,GA,14639,0.5210,survey-weighted
335,Erie,PA,14590,0.3048,survey-weighted
336,Jackson,MS,14588,0.6151,survey-weighted
337,Sussex,DE,14572,0.5289,survey-weighted
338,Wayne,NC,14546,0.4901,survey-weighted
339,Northampton,PA,14522,0.5085,survey-weighted
340,Cherokee,GA,14368,0.7153,survey-weighted
341,Cumberland,NJ,14362,0.5547,survey-weighted
342,St. Charles,MO,14240,0.7192,survey-weighted
343,Brown,WI,14169,0.6033,survey-weighted
344,Canyon,ID,14060,0.6190,survey-weighted
345,Ellis,TX,13925,0.5881,survey-weighted
346,Winnebago,IL,13904,0.2888,survey-weighted
347,Sullivan,TN,13837,0.5512,survey-weighted
348,Berrien,MI,13824,0.6157,survey-weighted
349,Madison,TN,13806,0.6418,survey-weighted
350,Johnson,IA,13799,0.7339,survey-weighted
351,Bradley,TN,13779,0.6613,survey-weighted
352,Jefferson,MO,13728,0.5365,survey-weighted
353,Forsyth,GA,13723,0.7847,survey-weighted
354,St. Louis,MN,13689,0.5980,survey-weighted
355,Sumner,TN,13684,0.6818,survey-weighted
356,Broome,NY,13680,0.5174,survey-weighted
357,Bonneville,ID,13666,0.7306,survey-weighted
358,St. Clair,IL,13639,0.4936,survey-weighted
359,Comal,TX,13615,0.7131,survey-weighted
360,Iredell,NC,13592,0.6401,survey-weighted
361,Rapides Parish,LA,13551,0.5367,survey-weighted
362,Cochise,AZ,13464,0.5157,survey-weighted
363,Tom Green,TX,13437,0.5770,survey-weighted
364,Warren,KY,13377,0.5753,survey-weighted
365,McHenry,IL,13268,0.6126,survey-weighted
366,Navajo,AZ,13214,0.3538,survey-weighted
367,Sevier,TN,13213,0.5890,survey-weighted
368,Kaufman,TX,13148,0.7859,survey-weighted
369,Clermont,OH,13074,0.4760,survey-weighted
370,Douglas,CO,13063,0.8951,survey-weighted
371,Craighead,AR,13009,0.5714,survey-weighted
372,Williamson,TN,12976,0.9066,survey-weighted
373,Humboldt,CA,12900,0.6278,MODELED
374,Alamance,NC,12809,0.6306,survey-weighted
375,Washington,MS,12785,0.6080,survey-weighted
376,Matanuska-Susitna Borough,AK,12646,0.7092,survey-weighted
377,Barnstable,MA,12637,0.6056,survey-weighted
378,Indian River,FL,12635,0.6510,survey-weighted
379,Maui,HI,12593,0.5429,survey-weighted
380,Brunswick,NC,12581,0.6005,survey-weighted
381,Henderson,NC,12505,0.6901,survey-weighted
382,Rockingham,NH,12498,0.7215,survey-weighted
383,Lee,MS,12451,0.7880,survey-weighted
384,Wichita,TX,12421,0.5783,survey-weighted
385,Taylor,TX,12419,0.6537,survey-weighted
386,McLean,IL,12397,0.5843,survey-weighted
387,Henderson,TX,12374,0.6482,survey-weighted
388,Clay,FL,12341,0.5845,survey-weighted
389,Vanderburgh,IN,12320,0.4922,survey-weighted
390,Sangamon,IL,12318,0.5458,survey-weighted
391,Newport News city,VA,12306,0.4259,survey-weighted
392,Saline,AR,12302,0.8378,survey-weighted
393,Cache,UT,12298,0.8750,survey-weighted
394,Floyd,GA,12263,0.4517,survey-weighted
395,Saginaw,MI,12229,0.3988,survey-weighted
396,Roanoke city,VA,12228,0.5136,survey-weighted
397,Davidson,NC,12196,0.4271,survey-weighted
398,Oconee,SC,12184,0.7373,survey-weighted
399,Kenton,KY,12180,0.5812,survey-weighted
400,Tompkins,NY,12173,0.7625,survey-weighted
401,Chesterfield,VA,12146,0.5789,survey-weighted
402,Lauderdale,AL,12023,0.6655,survey-weighted
403,Minnehaha,SD,12006,0.5354,survey-weighted
404,Rankin,MS,11975,0.6577,survey-weighted
405,Columbia,GA,11928,0.8464,survey-weighted
406,Whatcom,WA,11924,0.5097,survey-weighted
407,Bibb,GA,11907,0.3058,survey-weighted
408,Madison,IL,11822,0.3808,survey-weighted
409,Sumter,FL,11798,0.6167,survey-weighted
410,Shasta,CA,11758,0.5386,MODELED
411,Highlands,FL,11755,0.5459,survey-weighted
412,Butler,PA,11753,0.5490,survey-weighted
413,Portsmouth city,VA,11555,0.5420,survey-weighted
414,Marshall,AL,11531,0.5804,survey-weighted
415,St. Lawrence,NY,11520,0.5038,survey-weighted
416,Bay,FL,11485,0.5207,survey-weighted
417,Pueblo,CO,11463,0.4923,survey-weighted
418,Howard,MD,11410,0.6323,survey-weighted
